,Startup_name,Status,Hype_score,Risk_score,Basic_Review,InvRating,Post-ICO,Raised,ICO_start_date,ICO_end_date,ICO_token_supply,Hard_cap_size,Registration_Country,Ticker,Type,Additional_Token_Emission,Accepted_Currencies,Pre-sale_start_date,Pre-sale_end_date,Registration_Year,Pre-sale_token_supply,Soft_cap,Country_Limitations,ICO_Platform,Dev_rating,T_Utility_token,T_Cryptocurrency,T_Security,Roi_ETH,USD_cap,ROI_coin,Chek,Error,Trends,ROI_coin_up,ROI_coin_down
72,WePower,4.0,3.0,2.0,0.0,4.0,Votefor...,40000000,2018-02-01,2018-02-01,,40000000.0,,WPR,Security,0.0,1.0,,,,,5000000,,,1.0,1.0,0.0,0.0,0.79,8028822.8371199975,-93.5209,1.0,,0.03704308566421057,,-93.5209
73,EZPOS,4.0,2.0,1.0,0.0,4.0,Votefor...,10450000,2018-01-01,2018-01-21,10000000.0,10000000.0,Singapore,EZT,Utility-token,0.0,2.0,2017-12-07,2017-12-31,2017.0,,5000000,,,1.0,1.0,0.0,0.0,0.02,,,1.0,,21.844539609249786,,
74,Peculium,4.0,2.0,2.0,0.0,4.0,Votefor...,9000000,2017-12-20,2018-09-27,,57500000.0,,PCL,Utility-token,0.0,5.333333333333333,,,,,,,,1.0,1.0,0.0,0.0,0.69,2364158.79612,-72.9034,1.0,,0.0,,-72.9034
75,trade.io,4.0,3.0,2.0,0.0,4.0,Votefor...,31169749,2017-12-06,2018-01-03,500000000.0,135000000.0,Switzerland,TIO,Utility-token,0.0,1.0,2017-11-06,2017-11-24,,200000000.0,5000000,,,1.0,1.0,0.0,0.0,0.26,6995204.611160001,-18.0673,1.0,,0.9408442205715014,,-18.0673
76,JibrelNetwork,4.0,3.0,2.0,0.0,4.0,Votefor...,30000000,2017-11-25,2017-12-26,200000000.0,,,JNT,,0.0,2.0,,,,,,,,1.0,1.0,0.0,0.0,0.26,8621321.86848,-88.1622,1.0,,0.2164882567152248,,-88.1622
77,FSBTTechnologies,4.0,2.0,2.0,0.0,4.0,Votefor...,10000000,2017-11-16,2018-04-30,,15410900.0,,FSBT,Utility-token,0.0,2.0,,,,,3600ETH,,,0.0,1.0,0.0,0.0,0.1,179244.681159,-93.5343,1.0,,,,-93.5343
78,UTRUST,4.0,2.0,2.0,0.0,4.0,Votefor...,17875000,2017-11-01,2017-11-19,,,,UTK,,0.0,2.0,,,,,,,,1.0,1.0,0.0,0.0,0.89,17381624.1833,-81.131,1.0,,2.686770350630632,,-81.131
79,Hacken,4.0,2.0,2.0,0.0,4.0,Votefor...,7000000,2017-10-29,2017-11-28,,,,HKN,,0.0,7.666666666666668,,,,,,,,1.0,1.0,0.0,0.0,0.56,1560135.44531,-90.2972,1.0,,0.003935611969933342,,-90.2972
80,Goldmint,4.0,2.0,1.0,0.0,4.0,Votefor...,4500000,2017-09-18,2017-10-18,,,,MNTP,,0.0,2.0,,,,,,,,1.0,1.0,0.0,0.0,0.05,294743.382805,-91.9528,1.0,,0.05519559371824414,,-91.9528
81,TokenStars,4.0,2.0,1.0,0.0,4.0,Votefor...,4672564,2017-09-09,2017-10-30,,,Cyprus,ACE,,0.0,2.0,,,,,,,,1.0,1.0,0.0,0.0,0.09,260948.53588699998,-95.1114,1.0,,0.0,,-95.1114
